feature_id;feature_group;feature_subgroup;feature_label;definition;collection;author;hardwood_number;softwood_number;bart_number;feature_value;parent
IFC-169;TRACHEIDS;"Arrangement of (two or more seriate) tracheid pitting in radial walls (earlywood
only)";IT pitting alternate;;Softwood;IAWA;;47;;;
IFC-170;TRACHEIDS;Organic deposits (in heartwood tracheids);Organic deposits (in heartwood tracheids) Present;;Softwood;IAWA;;48;;;
IFC-171;TRACHEIDS;tracheid length;Average tracheid length (µm);;Softwood;IAWA;;49;;;
IFC-172;TRACHEIDS;Average longitudinal tracheid length (LT length);Short (< 3000 µm);;Softwood;IAWA;;50;;;
IFC-173;TRACHEIDS;Average longitudinal tracheid length (LT length);Medium (3000 to 5000 µm);;Softwood;IAWA;;51;;;
IFC-174;TRACHEIDS;Average longitudinal tracheid length (LT length);Long (> 5000 µm);;Softwood;IAWA;;52;;;
IFC-175;TRACHEIDS;Intercellular spaces throughout the wood (transverse section);Intercellular spaces throughout the wood;;Softwood;IAWA;;53;;;
IFC-176;TRACHEIDS;Latewood (LW) tracheid wall thickness (transverse section);Thin-walled (double wall thickness less than radial lumen diameter);;Softwood;IAWA;;54;;;
IFC-177;TRACHEIDS;Latewood (LW) tracheid wall thickness (transverse section);Thick-walled (double wall thickness larger than radial lumen diameter);;Softwood;IAWA;;55;;;
IFC-178;TRACHEIDS;Torus (pits in earlywood tracheids only);Torus (pits in earlywood tracheids only) Present;;Softwood;IAWA;;56;;;
IFC-179;TRACHEIDS;Torus (pits in earlywood tracheids only);Scalloped;;Softwood;IAWA;;57;;;
IFC-180;TRACHEIDS;Torus (pits in earlywood tracheids only);Torus extensions;;Softwood;IAWA;;58;;;
IFC-181;TRACHEIDS;Pits with notched borders;Pits with notched borders Present;;Softwood;IAWA;;59;;;
IFC-182;TRACHEIDS;Warty layer (visible under the light microscope);Warty layer (visible under the light microscope) Present;;Softwood;IAWA;;60;;;
IFC-183;HELICAL AND OTHER WALL THICKENINGS;Helical thickenings in tracheids;Helical thickenings in longitudinal tracheids Present;;Softwood;IAWA;;61;;;
